date,open,high,low,close
2024-06-03,1.08501,1.09049,1.0828,1.09045
2024-06-04,1.09027,1.09161,1.0859,1.08791
2024-06-05,1.08814,1.08919,1.08545,1.08693
2024-06-06,1.08709,1.09021,1.08621,1.0889
2024-06-07,1.08908,1.09032,1.07995,1.0802
2024-06-10,1.07726,1.07817,1.07328,1.07653
2024-06-11,1.07636,1.07737,1.07196,1.07405
2024-06-12,1.07413,1.08524,1.07348,1.08096
2024-06-13,1.08076,1.08166,1.0733,1.07373
2024-06-14,1.07375,1.0745,1.06678,1.07058
2024-06-17,1.07038,1.07379,1.06865,1.07344
2024-06-18,1.07335,1.07616,1.07102,1.07399
2024-06-19,1.07399,1.07536,1.07249,1.07438
2024-06-20,1.07456,1.07489,1.0702,1.07028
2024-06-21,1.0704,1.07207,1.06711,1.06928
2024-06-24,1.06883,1.07465,1.06838,1.07345
2024-06-25,1.07343,1.07443,1.06908,1.07149
2024-06-26,1.07109,1.07181,1.06661,1.06809
2024-06-27,1.06804,1.07266,1.06772,1.07037
2024-06-28,1.07042,1.07249,1.06854,1.07136
2024-07-01,1.07456,1.07765,1.07198,1.07402
2024-07-02,1.07373,1.07473,1.07101,1.07456
2024-07-03,1.07427,1.0817,1.07364,1.07885
2024-07-04,1.07891,1.0814,1.07837,1.0812
2024-07-05,1.08126,1.08428,1.07994,1.08395
2024-07-08,1.08062,1.08452,1.08062,1.08246
2024-07-09,1.08249,1.08335,1.08056,1.08139
2024-07-10,1.08151,1.08307,1.08109,1.08301
2024-07-11,1.08282,1.08999,1.08275,1.0868
2024-07-12,1.08669,1.09115,1.08619,1.09051
2024-07-15,1.0886,1.09224,1.08835,1.08947
2024-07-16,1.08967,1.09057,1.08717,1.08986
2024-07-17,1.09007,1.09482,1.08952,1.094
2024-07-18,1.09388,1.09412,1.08938,1.08964
2024-07-19,1.08988,1.09019,1.08757,1.08818
2024-07-22,1.08836,1.0903,1.08731,1.08907
2024-07-23,1.08898,1.08969,1.0844,1.0853
2024-07-24,1.08539,1.08667,1.08258,1.08404
2024-07-25,1.08408,1.08701,1.08285,1.08452
2024-07-26,1.08465,1.08684,1.08422,1.08554
2024-07-29,1.08587,1.08701,1.08029,1.08211
2024-07-30,1.08223,1.08359,1.07984,1.08151
2024-07-31,1.08145,1.08495,1.0802,1.08265
2024-08-01,1.08244,1.08356,1.07776,1.07915
2024-08-02,1.07914,1.09267,1.07819,1.09118
2024-08-05,1.09229,1.10088,1.08928,1.09513
2024-08-06,1.09492,1.09632,1.09039,1.09319
2024-08-07,1.09294,1.09368,1.09055,1.0923
2024-08-08,1.09205,1.09452,1.08817,1.09189
2024-08-09,1.09161,1.09315,1.09092,1.09159
2024-08-12,1.09169,1.09396,1.09102,1.09322
2024-08-13,1.09312,1.09998,1.09139,1.09948
2024-08-14,1.09857,1.10475,1.09834,1.10126
2024-08-15,1.10134,1.10158,1.09497,1.09719
2024-08-16,1.09718,1.10298,1.09711,1.10269
2024-08-19,1.1028,1.10865,1.10228,1.10854
2024-08-20,1.10827,1.11308,1.10721,1.11299
2024-08-21,1.11281,1.11742,1.10994,1.11502
2024-08-22,1.11521,1.1165,1.10983,1.11114
2024-08-23,1.11118,1.12011,1.11056,1.11937
2024-08-26,1.1191,1.12016,1.11502,1.11612
2024-08-27,1.11618,1.11907,1.11501,1.11844
2024-08-28,1.11826,1.11856,1.11051,1.11202
2024-08-29,1.11195,1.114,1.10557,1.10777
2024-08-30,1.10777,1.10951,1.10439,1.10485
2024-09-02,1.10497,1.10775,1.10422,1.10725
2024-09-03,1.10704,1.1073,1.10265,1.10436
2024-09-04,1.10422,1.10952,1.10396,1.1083
2024-09-05,1.10835,1.11198,1.10749,1.11108
2024-09-06,1.11101,1.11557,1.10658,1.10863
2024-09-09,1.10831,1.10913,1.10337,1.10352
2024-09-10,1.10383,1.10498,1.10153,1.10194
2024-09-11,1.10193,1.10549,1.10021,1.10114
2024-09-12,1.10142,1.10752,1.10056,1.10749
2024-09-13,1.10739,1.1102,1.10705,1.10747
2024-09-16,1.10783,1.11378,1.10759,1.11329
2024-09-17,1.11329,1.11465,1.1111,1.11134
2024-09-18,1.1115,1.11892,1.10968,1.11191
2024-09-19,1.11172,1.1179,1.10686,1.11621
2024-09-20,1.11626,1.1182,1.11362,1.11631
2024-09-23,1.11646,1.11674,1.10834,1.11114
2024-09-24,1.11114,1.11811,1.11036,1.11797
2024-09-25,1.11799,1.12141,1.11217,1.11329
2024-09-26,1.11331,1.11894,1.11259,1.11769
2024-09-27,1.11768,1.12032,1.1125,1.11593
2024-09-30,1.11621,1.12091,1.11138,1.11352
2024-10-01,1.11346,1.11442,1.10459,1.1068
2024-10-02,1.10685,1.1083,1.10328,1.10449
2024-10-03,1.1045,1.10504,1.10085,1.10308
2024-10-04,1.10304,1.10398,1.09514,1.0976
2024-10-07,1.09674,1.0987,1.09544,1.09747
2024-10-08,1.09743,1.09973,1.0961,1.09814
2024-10-09,1.09795,1.09811,1.09363,1.09397
