Date,Actual,Predicted
2025-02-12,1.03827,1.0396397
2025-02-13,1.04641,1.0325515
2025-02-14,1.04919,1.038942
2025-02-17,1.04844,1.0433285
2025-02-18,1.04462,1.0455121
2025-02-19,1.04226,1.0410589
2025-02-20,1.05012,1.0424371
2025-02-21,1.04567,1.0459532
2025-02-24,1.04678,1.0461088
2025-02-25,1.05134,1.0484651
2025-02-26,1.04844,1.0445021
2025-02-27,1.03983,1.0442228
2025-02-28,1.03774,1.0481706
2025-03-03,1.04876,1.0439157
2025-03-04,1.06264,1.0396299
2025-03-05,1.07889,1.0471497
2025-03-06,1.07837,1.0497965
2025-03-07,1.08326,1.0641103
2025-03-10,1.08343,1.0874047
2025-03-11,1.09192,1.0834687
2025-03-12,1.08881,1.0918651
2025-03-13,1.08526,1.0837723
2025-03-14,1.08788,1.0880549
2025-03-17,1.09225,1.0828158
2025-03-18,1.09448,1.0852116
2025-03-19,1.09023,1.0926485
2025-03-20,1.08523,1.0938941
2025-03-21,1.08161,1.091933
2025-03-24,1.08009,1.0826887
2025-03-25,1.07917,1.0769724
2025-03-26,1.07539,1.0797504
2025-03-27,1.08014,1.0810721
2025-03-28,1.08284,1.0805503
2025-03-31,1.08167,1.0802624
2025-04-01,1.07937,1.0815091
2025-04-02,1.08527,1.0828406
2025-04-03,1.10522,1.0839413
2025-04-04,1.09563,1.0961041
2025-04-07,1.09124,1.0972034
2025-04-08,1.09592,1.0935528
2025-04-09,1.09492,1.090772
2025-04-10,1.12011,1.090244
2025-04-11,1.13591,1.1095724
2025-04-14,1.13506,1.1165442
2025-04-15,1.12812,1.1148982
2025-04-16,1.13989,1.1071031
2025-04-17,1.13647,1.1071031
2025-04-18,1.13936,1.1071031
